java-environment-common 2-2
java-jsvc 1.0.15-2
java-runtime-common 2-2
jdk 8u66-1
jemalloc 4.0.4-1
jfsutils 1.1.15-4
js17 17.0.0-3
json-c 0.12-2
json-glib 1.0.4-1
jsoncpp 1.6.5-3
kbd 2.0.3-1
kbproto 1.0.7-1
keyutils 1.5.9-1
kmod 22-1
krb5 1.13.2-1
ladspa 1.13-6
lame 3.99.5-3
lapack 3.6.0-2
lcms 1.19-5
lcms2 2.7-1
ldb 1.1.24-1
ldns 1.6.17-3
less 481-2
leveldb 1.18-2
libabw 0.1.1-2
libaio 0.3.110-1
libappindicator-gtk2 12.10.0-7
libarchive 3.1.2-8
libart-lgpl 2.3.21-3
libass 0.13.1-1
libassuan 2.4.2-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.9.2-1
libbsd 0.8.1-1
libburn 1.4.2-1
libc++ 3.7.0-1
libc++abi 3.7.0-1
libcaca 0.99.beta18-3
libcacard 2.4.1-2
libcanberra 0.30-5
libcanberra-pulse 0.30-5
libcap 2.24-2
libcap-ng 0.7.7-1
libcdaudio 0.99.12-7
libcddb 1.3.2-4
libcdio 0.93-3
libcdio-paranoia 10.2+0.93+1-1
libcdr 0.1.2-1
libcroco 0.6.11-1
libcups 2.1.2-3
libdaemon 0.14-3
libdatrie 0.2.9-1
libdbus 1.10.6-1
libdbusmenu-glib 12.10.2-4
libdbusmenu-gtk2 12.10.2-4
libdbusmenu-gtk3 12.10.2-4
libdbusmenu-qt4 0.9.3+15.10.20150604-3
libdbusmenu-qt5 0.9.3+15.10.20150604-3
libdc1394 2.2.3-1
libdca 0.0.5-4
libdiscid 0.6.1-2
libdmtx 0.7.4-5
libdmx 1.1.3-1
libdrm 2.4.66-1
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdcss 1.4.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-4
libebml 1.3.3-2
libedit 20150325_3.1-2
libelf 0.165-1
libepoxy 1.3.1-1
libetonyek 0.1.6-1
libetpan 1.6-2
libev 4.20-1
libevdev 1.4.6-1
libevent 2.0.22-1
libexif 0.6.21-2
libfbclient 2.5.4.26856-3
libffi 3.2.1-1
libfontenc 1.1.3-1
libftdi-compat 0.20-3
libgadu 1.12.1-2
libgcrypt 1.6.4-1
libgdiplus 3.12-1
libgee 0.18.0-1
libgit2 1:0.23.4-1
libgksu 2.0.12-6
libglade 2.6.4-5
libglademm 2.6.7-4
libgme 0.6.0-5
libgnome-keyring 3.12.0-2
libgnomecanvas 2.30.3-3
libgnomecanvasmm 2.26.0-4
libgnomekbd 3.6.0-2
libgpg-error 1.21-1
libgsf 1.14.34-1
libgtop 2.32.0-1
libgudev 230-1
libguess 1.2-1
libgusb 0.2.8-1
libgweather 3.18.1-1
libgxps 0.2.3.2-1
libibus 1.5.11-2
libical 2.0.0-1
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.32-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-1
libindi 1.1.0-3
